chr left right
RP11-261C10.2 chr1 243192814 243215554
RP11-261C10.3 chr1 243242159 243265035
CEP170 chr1 243287730 243418650
RP11-261C10.5 chr1 243299200 243303890
SDCCAG8 chr1 243419320 243663394
AKT3 chr1 243651535 244014381
RP11-269F20.1 chr1 243708834 243711631
RP11-278H7.1 chr1 244080704 244210619
ZBTB18 chr1 244214585 244220778
AL590483.1 chr1 244227632 244231211
RP11-278H7.4 chr1 244232122 244256328
RP11-518L10.5 chr1 244538402 244572894
ADSS chr1 244571796 244615436
C1orf101 chr1 244617679 244804479
DESI2 chr1 244816237 244872335
COX20 chr1 244998624 245008359
HNRNPU-AS1 chr1 245003940 245018799
HNRNPU chr1 245014468 245027844
RP11-11N7.4 chr1 245028040 245028574
RP11-156E8.1 chr1 245132652 245134390
EFCAB2 chr1 245133007 245290466
KIF26B chr1 245318287 245872733
RP11-522M21.3 chr1 245837034 245839780
SMYD3 chr1 245912642 246670614
RP11-83A16.1 chr1 246196853 246198905
RP11-690C23.2 chr1 246679341 246687589
TFB2M chr1 246703862 246729626
CNST chr1 246729746 246831886
RP11-439E19.9 chr1 246845410 246848377
RP11-439E19.7 chr1 246853349 246855123
SCCPDH chr1 246887349 246931439
RP11-439E19.10 chr1 246935603 246939074
AHCTF1 chr1 247002400 247095280
ZNF670 chr1 247108849 247242113
ZNF695 chr1 247108849 247171395
ZNF669 chr1 247263264 247267674
C1orf229 chr1 247273462 247275719
ZNF124 chr1 247285277 247335318
RP11-488L18.10 chr1 247350583 247351828
RP11-488L18.8 chr1 247373993 247405125
ZNF496 chr1 247460714 247495148
NLRP3 chr1 247579458 247612410
GCSAML chr1 247670360 247740992
GCSAML-AS1 chr1 247687981 247690054
OR2C3 chr1 247693434 247697141
RP11-634B7.4 chr1 247803051 247910364
TRIM58 chr1 248020501 248041507
OR2W3 chr1 248031277 248060449
OR2L13 chr1 248100493 248264224
OR2L8 chr1 248112160 248113098
OR2AK2 chr1 248128535 248129641
OR2L2 chr1 248201474 248202607
OR2L3 chr1 248223984 248224922
RP11-407H12.8 chr1 248647546 248648785
RP11-438F14.3 chr1 248712057 248727140
OR2T10 chr1 248756052 248757100
XX-CR54.1 chr1 248855492 248862411
XX-CR54.3 chr1 248881947 248885506
LYPD8 chr1 248902716 248903150
SH3BP5L chr1 249104648 249120832
ZNF672 chr1 249132409 249143716
ZNF692 chr1 249144205 249153343
AL672294.1 chr1 249153363 249158995
PGBD2 chr1 249200395 249214145
FAM110C chr2 38814 46870
AC079779.7 chr2 197569 202605
SH3YL1 chr2 217730 266398
ACP1 chr2 264140 278283
FAM150B chr2 279558 288851
AC079779.6 chr2 317912 342118
AC105393.2 chr2 421057 422303
AC093326.3 chr2 558204 578145
TMEM18 chr2 667335 677439
AC092159.2 chr2 677186 697371
AC116609.1 chr2 724966 731224
LINC01115 chr2 779837 864112
AC116614.1 chr2 945320 945960
SNTG2 chr2 946554 1371385
TPO chr2 1377995 1547483
AC144450.2 chr2 1624282 1629191
PXDN chr2 1635659 1748624
MYT1L chr2 1792885 2335032
AC019118.2 chr2 2898820 3129798
AC019118.3 chr2 3135353 3149551
TSSC1 chr2 3192696 3381653
TRAPPC12 chr2 3383446 3488865
TRAPPC12-AS1 chr2 3485013 3486180
RP11-1293J14.1 chr2 3500727 3501199
ADI1 chr2 3501132 3523507
AC142528.1 chr2 3523046 3526968
AC108488.4 chr2 3579403 3584463
RP13-512J5.1 chr2 3579574 3595547
RNASEH1 chr2 3592383 3606206
RNASEH1-AS1 chr2 3606082 3609324
RPS7 chr2 3622795 3628509
COLEC11 chr2 3642426 3692048
AC010907.2 chr2 3650987 3651832
AC107070.1 chr2 4005245 4021660
AC022311.1 chr2 4675812 4703805
AC108025.2 chr2 5758459 5831250
SOX11 chr2 5832799 5841516
DKFZP761K2322 chr2 6111712 6114374
AC105253.1 chr2 6506142 6515554
LINC00487 chr2 6868309 6910442
AC017076.5 chr2 6968645 6980595
CMPK2 chr2 6980701 7006766
RSAD2 chr2 7005937 7038370
RP11-439M11.1 chr2 7045855 7046432
RNF144A chr2 7057523 7208417
AC019048.1 chr2 7202858 7218011
RP11-557L19.1 chr2 7401002 7401635
AC092580.3 chr2 7811735 7812377
AC092580.4 chr2 7865932 7870836
LINC00298 chr2 8062556 8418214
LINC00299 chr2 8147901 8523751
AC011747.3 chr2 8683722 8715631
AC011747.4 chr2 8699963 8723922
AC011747.7 chr2 8806766 8821993
ID2 chr2 8818975 8824583
RP11-434B12.1 chr2 8861264 8862816
KIDINS220 chr2 8865408 8977760
MBOAT2 chr2 8992820 9143942
RP11-734K21.5 chr2 9246722 9249994
ASAP2 chr2 9346894 9545812
ITGB1BP1 chr2 9543604 9563676
CPSF3 chr2 9563697 9613230
IAH1 chr2 9613787 9636672
ADAM17 chr2 9628615 9695921
RP11-400L8.2 chr2 9645574 9652541
RP11-214N9.1 chr2 9696028 9696904
YWHAQ chr2 9724101 9771143
RP11-521D12.2 chr2 9814152 9848542
RP11-521D12.5 chr2 9897625 9910470
TAF1B chr2 9983483 10074545
RP11-95D17.1 chr2 10076489 10079719
GRHL1 chr2 10085341 10142411
RP11-254F7.2 chr2 10179219 10180790
KLF11 chr2 10182976 10194963
RP11-254F7.3 chr2 10194548 10194993
CYS1 chr2 10196907 10221071
RP11-254F7.4 chr2 10260861 10261192
RRM2 chr2 10262455 10271545
C2orf48 chr2 10281509 10351851
HPCAL1 chr2 10443015 10567743
ODC1 chr2 10580094 10588630
RP11-320M2.1 chr2 10588820 10591453
AC007249.3 chr2 10592445 10595678
NOL10 chr2 10710892 10830101
RN7SL832P chr2 10830470 10832225
ATP6V1C2 chr2 10861775 10925236
RP11-791G15.2 chr2 10908001 10910184
PDIA6 chr2 10923517 10978103
RP11-245G13.2 chr2 11018395 11025244
AC062028.1 chr2 11239977 11272947
C2orf50 chr2 11273179 11286916
PQLC3 chr2 11295324 11319000
ROCK2 chr2 11319887 11488456
LINC00570 chr2 11534107 11543203
E2F6 chr2 11584501 11606297
GREB1 chr2 11674242 11782914
LPIN1 chr2 11817721 11967535
AC012456.4 chr2 11881123 11885427
AC096559.1 chr2 11988748 12718474
RP11-333O1.1 chr2 12855541 12856353
TRIB2 chr2 12857015 12882860
FAM84A chr2 14772810 14790933
AC068286.1 chr2 15026771 15047788
NBAS chr2 15307032 15701454
AC008278.2 chr2 15704294 15713992
DDX1 chr2 15731302 15771235
MYCNOS chr2 16061159 16082371
MYCN chr2 16080686 16087129
AC142119.1 chr2 16225344 16245963
AC010880.1 chr2 16535524 16613970
FAM49A chr2 16730727 16847599
RAD51AP2 chr2 17691851 17699706
VSNL1 chr2 17720393 17838285
SMC6 chr2 17845079 17981509
GEN1 chr2 17935125 17966632
KCNS3 chr2 18059114 18542882
RP11-111J6.2 chr2 18728652 18729470
RDH14 chr2 18735989 18741946
NT5C1B chr2 18737050 18770838
AC106053.1 chr2 18966073 18969018
AC092594.1 chr2 19167729 19546509
AC010096.1 chr2 19657981 19668722
LINC00954 chr2 20068621 20084808
TTC32 chr2 20096404 20101747
RP11-79O8.1 chr2 20101786 20102330
WDR35 chr2 20110021 20189892
AC079145.4 chr2 20189978 20203971
MATN3 chr2 20191872 20212455
LAPTM4A chr2 20232411 20251789
RP11-644K8.1 chr2 20251895 20254257
SDC1 chr2 20400558 20425194
PUM2 chr2 20448452 20551995
RHOB chr2 20646835 20649200
HS1BP3 chr2 20760208 20850849
RP11-130L8.2 chr2 20786008 20786446
GDF7 chr2 20866424 20873418
AC012065.7 chr2 20877569 20879005
RP11-130L8.1 chr2 20878014 20878692
C2orf43 chr2 20883788 21022882
TDRD15 chr2 21346789 21366144
AC067959.1 chr2 21444047 22193831
AC011752.1 chr2 21540532 21784185
AC012506.4 chr2 23598100 23604170
KLHL29 chr2 23608088 23931481
ATAD2B chr2 23971534 24149984
UBXN2A chr2 24150155 24227779
MFSD2B chr2 24232951 24286191
C2orf44 chr2 24252210 24272445
FKBP1B chr2 24272571 24286551
SF3B14 chr2 24290454 24299313
FAM228B chr2 24299396 24392509
TP53I3 chr2 24300303 24308731
PFN4 chr2 24338241 24346347
RP11-507M3.1 chr2 24347236 24413305
AC008073.7 chr2 24388753 24397874
FAM228A chr2 24397938 24423718
AC008073.9 chr2 24422708 24424567
ITSN2 chr2 24425733 24583583
AC009228.1 chr2 24437250 24444385
NCOA1 chr2 24714783 24993571
PTRHD1 chr2 25012603 25016251
CENPO chr2 25016005 25045245
ADCY3 chr2 25042038 25142708
RP11-443B20.1 chr2 25048479 25049586
DNAJC27 chr2 25166505 25194963
DNAJC27-AS1 chr2 25194259 25262563
EFR3B chr2 25264999 25378243
RP11-509E16.1 chr2 25380063 25382006
POMC chr2 25383722 25391772
AC012457.2 chr2 25427182 25432071
RP11-458N5.1 chr2 25450724 25451090
DNMT3A chr2 25455845 25565459
AC012074.2 chr2 25592042 25598714
DTNB chr2 25600067 25896503
AC104699.1 chr2 25643986 25650512
ASXL2 chr2 25956622 26101385
KIF3C chr2 26149471 26205618
AC013449.1 chr2 26251074 26251481
RAB10 chr2 26256976 26360323
GAREML chr2 26395960 26412532
HADHA chr2 26413504 26467594
HADHB chr2 26466038 26513336
GPR113 chr2 26531041 26569685
EPT1 chr2 26531415 26618759
DRC1 chr2 26624784 26679579
OTOF chr2 26680071 26781566
KCNK3 chr2 26915619 26956288
SLC35F6 chr2 26987152 27004099
CENPA chr2 26987157 27023935
DPYSL5 chr2 27070615 27173219
MAPRE3 chr2 27193480 27250064
TMEM214 chr2 27255778 27264563
AGBL5 chr2 27265232 27293490
AGBL5-AS1 chr2 27272551 27273132
RP11-503P10.1 chr2 27276486 27277144
RP11-195B17.1 chr2 27285296 27285775
OST4 chr2 27293340 27294641
EMILIN1 chr2 27301435 27309271
KHK chr2 27309615 27323640
CGREF1 chr2 27321757 27341995
ABHD1 chr2 27346682 27353680
PREB chr2 27353624 27357543
SLC5A6 chr2 27422455 27435826
ATRAID chr2 27434895 27440046
CAD chr2 27440258 27466811
SLC30A3 chr2 27476552 27498685
DNAJC5G chr2 27498289 27504367
TRIM54 chr2 27505260 27530307
UCN chr2 27530268 27531313
MPV17 chr2 27532360 27548547
GTF3C2 chr2 27548716 27579868
AC109828.1 chr2 27558402 27565466
AC074117.10 chr2 27579113 27590489
EIF2B4 chr2 27587219 27593353
SNX17 chr2 27593389 27599995
ZNF513 chr2 27600098 27603657
PPM1G chr2 27604061 27632554
NRBP1 chr2 27650657 27665126
KRTCAP3 chr2 27665233 27669348
IFT172 chr2 27667238 27712656
FNDC4 chr2 27714750 27718112
GCKR chr2 27719709 27746554
C2orf16 chr2 27799389 27805588
ZNF512 chr2 27805897 27858041
CCDC121 chr2 27848506 27851879
GPN1 chr2 27851114 27874375
SUPT7L chr2 27873679 27886676
SLC4A1AP chr2 27886338 27917840
AC074091.13 chr2 27928653 27938599
MRPL33 chr2 27994584 28210954
RBKS chr2 28004231 28113965
BRE chr2 28112808 28561768
AC093690.1 chr2 28530558 28533326
AC104695.3 chr2 28607276 28617539
FOSL2 chr2 28615315 28640179
RP11-373D23.3 chr2 28648812 28649586
PLB1 chr2 28680012 28866654
AC097724.3 chr2 28931819 28959071
PPP1CB chr2 28974506 29025806
SPDYA chr2 29005383 29073477
RP11-713D19.1 chr2 29033147 29033572
TRMT61B chr2 29072687 29093167
WDR43 chr2 29117509 29171088
FAM179A chr2 29179477 29284239
AC105398.3 chr2 29319709 29320391
CLIP4 chr2 29320571 29412509
ALK chr2 29415640 30144432
AC106870.2 chr2 30122463 30130065
AC016907.3 chr2 30273932 30366670
YPEL5 chr2 30369807 30383399
LBH chr2 30454397 30546596
AC109642.1 chr2 30569525 30575297
LCLAT1 chr2 30670092 30867091
GALNT14 chr2 31133333 31378068
CAPN14 chr2 31395924 31456724
EHD3 chr2 31456880 31492313
XDH chr2 31557187 31637581
AL133249.1 chr2 32018892 32029049
RP11-1057B6.1 chr2 32078045 32078492
MEMO1 chr2 32090129 32236299
DPY30 chr2 32092878 32264881
CTC-336P14.1 chr2 32238130 32238437
SPAST chr2 32288680 32382706
RP11-563N4.1 chr2 32390115 32390826
SLC30A6 chr2 32390933 32449448
NLRC4 chr2 32449522 32490923
YIPF4 chr2 32502979 32541663
AL133245.2 chr2 32546707 32548071
BIRC6 chr2 32582096 32843966
BIRC6-AS1 chr2 32602699 32604667
TTC27 chr2 32853099 33046118
LINC00486 chr2 33050510 33151760
LTBP1 chr2 33172039 33624576
RASGRP3 chr2 33661391 33789817
AC020594.5 chr2 33780114 33788614
FAM98A chr2 33808725 33824449
AC009499.1 chr2 33931953 34522820
AC073218.2 chr2 34902646 34963298
RP11-529E15.1 chr2 34917357 34928447
AC012593.1 chr2 35024917 35410755
RP11-490M8.1 chr2 36581892 36582257
CRIM1 chr2 36583069 36778278
RP11-78I14.1 chr2 36740398 36740875
AC007401.2 chr2 36758948 36779411
FEZ2 chr2 36778570 36873230
VIT chr2 36923833 37041935
AC007382.1 chr2 37068327 37068530
STRN chr2 37070783 37193615
HEATR5B chr2 37195526 37311485
GPATCH11 chr2 37311594 37326387
EIF2AK2 chr2 37326353 37384208
CEBPZ-AS1 chr2 37423631 37443336
CEBPZ chr2 37428755 37458856
NDUFAF7 chr2 37458774 37480546
PRKD3 chr2 37477645 37551951
AC007391.2 chr2 37552483 37553940
QPCT chr2 37571717 37600465
AC006369.2 chr2 37827279 37873841
CDC42EP3 chr2 37869032 37965611
AC006369.3 chr2 37971476 37974189
LINC00211 chr2 38053390 38103417
RMDN2 chr2 38150330 38294285
CYP1B1 chr2 38294116 38337044
CYP1B1-AS1 chr2 38302791 38408997
RP11-314C9.2 chr2 38420490 38420771
ATL2 chr2 38522022 38604427
AC016995.3 chr2 38633861 38742882
HNRNPLL chr2 38789120 38830728
AC011247.3 chr2 38828740 38829320
GALM chr2 38893052 38968379
AC074366.3 chr2 38895830 38898563
SRSF7 chr2 38970741 38978636
GEMIN6 chr2 38978676 39012142
DHX57 chr2 39024871 39103075
AC018693.6 chr2 39088862 39090275
MORN2 chr2 39103103 39156213
ARHGEF33 chr2 39117021 39202590
AC019171.1 chr2 39186764 39187483
SOS1 chr2 39208537 39351486
CDKL4 chr2 39402787 39456729
MAP4K3 chr2 39476407 39664453
AC007246.3 chr2 39663778 39892483
TMEM178A chr2 39892122 39945103
THUMPD2 chr2 39963200 40006407
SLC8A1-AS1 chr2 40013593 40482349
SLC8A1 chr2 40324410 40838193
AC104654.2 chr2 42158739 42160863
C2orf91 chr2 42162508 42181406
PKDCC chr2 42275160 42285668
AC083949.1 chr2 42370378 42397441
EML4 chr2 42396490 42559688
COX7A2L chr2 42560686 42652228
KCNG3 chr2 42669157 42721237
MTA3 chr2 42721709 42984087
OXER1 chr2 42989642 42991401
HAAO chr2 42994229 43019733
AC016735.2 chr2 43254992 43266686
AC016735.3 chr2 43268332 43270921
AC093609.1 chr2 43324884 43329829
THADA chr2 43393800 43823185
ZFP36L2 chr2 43449541 43453748
AC010883.5 chr2 43456712 43460533
PLEKHH2 chr2 43864412 43995126
DYNC2LI1 chr2 44001178 44037149
ABCG5 chr2 44039611 44066004
LRPPRC chr2 44113647 44223144
RP11-559M23.1 chr2 44394764 44395998
PPM1B chr2 44395108 44471523
SLC3A1 chr2 44502599 44548633
PREPL chr2 44543420 44589001
CAMKMT chr2 44589089 44999731
RP11-89K21.1 chr2 45147332 45166338
SIX3-AS1 chr2 45167293 45169012
SIX3 chr2 45168902 45173216
AC012354.6 chr2 45181803 45195901
SRBD1 chr2 45615819 45839304
PRKCE chr2 45878484 46415129
U51244.2 chr2 45901840 45902615
AC017006.2 chr2 46305154 46305967
EPAS1 chr2 46520806 46613836
TMEM247 chr2 46656329 46711564
ATP6V1E2 chr2 46717889 46769696
RP11-417F21.2 chr2 46726870 46728417
RHOQ chr2 46768945 46810260
RP11-417F21.1 chr2 46795395 46807377
PIGF chr2 46808076 46844258
CRIPT chr2 46843555 46852881
SOCS5 chr2 46926091 46990268
RP11-333I13.1 chr2 47004922 47007384
LINC01118 chr2 47043807 47049796
LINC01119 chr2 47043836 47086146
AC016722.3 chr2 47079159 47080635
AC016722.4 chr2 47126414 47135817
MCFD2 chr2 47129009 47168994
TTC7A chr2 47143296 47303276
AC093732.1 chr2 47262418 47267663
C2orf61 chr2 47272677 47382517
RP11-761B3.1 chr2 47293080 47403650
AC073283.7 chr2 47294961 47298343
CALM2 chr2 47387221 47403740
AC073283.4 chr2 47419544 47572213
BCYRN1 chr2 47558199 47571656
EPCAM chr2 47572297 47614740
MSH2 chr2 47630108 47789450
AC138655.6 chr2 47713153 47715691
KCNK12 chr2 47743720 47798078
AC138655.4 chr2 47754676 47762338
AC138655.1 chr2 47799601 47801998
MSH6 chr2 47922669 48037240
FBXO11 chr2 48016455 48132932
AC079807.2 chr2 48132817 48134949
AC079807.4 chr2 48168835 48468122
FOXN2 chr2 48541776 48606433
RP11-191L17.1 chr2 48667182 48667736
PPP1R21 chr2 48667737 48742525
STON1 chr2 48756522 48826025
LHCGR chr2 48859428 48982880
NRXN1 chr2 50145643 51259674
AC010967.2 chr2 52949815 53137158
GPR75-ASB3 chr2 53759810 54087170
ASB3 chr2 53897430 54087297
CHAC2 chr2 53994929 54002333
ERLEC1 chr2 54014181 54045956
GPR75 chr2 54080050 54087126
PSME4 chr2 54091204 54197977
ACYP2 chr2 54197975 54532437
RP11-477N3.1 chr2 54309691 54312203
TSPYL6 chr2 54480315 54483409
C2orf73 chr2 54557171 54610879
SPTBN1 chr2 54683422 54896812
AC092839.3 chr2 54743185 54767834
AC093110.3 chr2 54888148 54889929
EML6 chr2 54950636 55199157
RTN4 chr2 55199325 55339757
CLHC1 chr2 55401927 55459699
AC012358.7 chr2 55441523 55443262
RPS27A chr2 55459039 55462989
MTIF2 chr2 55463731 55496483
CCDC88A chr2 55514978 55647057
AC012358.8 chr2 55535628 55573185
CCDC104 chr2 55746740 55773015
SMEK2 chr2 55774428 55846015
RP11-554J4.1 chr2 55845044 55845508
PNPT1 chr2 55861400 55921045
AC007743.1 chr2 56400669 56412905
CCDC85A chr2 56411258 56613308
VRK2 chr2 58134786 58387055
FANCL chr2 58386378 58468507
RP11-334G22.1 chr2 58468484 58468821
AC007250.4 chr2 58503012 58523683
LINC01122 chr2 58654934 59290901
AC007131.1 chr2 59444843 59506535
AC007381.3 chr2 60577730 60580151
AC007381.2 chr2 60586351 60618510
BCL11A chr2 60678302 60780702
PAPOLG chr2 60983365 61029220
AC010733.4 chr2 61052267 61108449
REL chr2 61108656 61158745
PUS10 chr2 61167357 61245394
PEX13 chr2 61244360 61279125
KIAA1841 chr2 61293006 61391960
C2orf74 chr2 61372243 61391964
RP11-493E12.1 chr2 61378568 61389240
AHSA2 chr2 61404553 61418338
USP34 chr2 61414598 61697904
RP11-355B11.2 chr2 61698323 61711265
XPO1 chr2 61704984 61765761
FAM161A chr2 62051989 62081278
CCT4 chr2 62095224 62115939
AC107081.5 chr2 62095567 62113217
COMMD1 chr2 62115859 62374382
AC018462.2 chr2 62296582 62374016
B3GNT2 chr2 62423248 62451866
AC093159.1 chr2 62690262 62691205
TMEM17 chr2 62727356 62739029
EHBP1 chr2 62900986 63273622
AC007098.1 chr2 63053199 63085573
AC009501.4 chr2 63271057 63275775
OTX1 chr2 63277192 63284971
WDPCP chr2 63348518 64054977
MDH1 chr2 63815743 63834331
UGP2 chr2 64068074 64118696
VPS54 chr2 64119280 64246206
AC012368.1 chr2 64313484 64315380
PELI1 chr2 64319786 64371588
AC074289.1 chr2 64370373 64479993
LINC00309 chr2 64412212 64432619
AC114752.3 chr2 64565201 64568781
AC008074.3 chr2 64622354 64680932
LGALSL chr2 64681103 64688515
RP11-568N6.1 chr2 64749321 64751227
AFTPH chr2 64751465 64820139
AC007365.1 chr2 64834109 64843616
SERTAD2 chr2 64858755 64978139
AC007365.3 chr2 64871746 64873832
AC007880.1 chr2 65073264 65090760
AC007386.2 chr2 65128974 65132271
SLC1A4 chr2 65215611 65250999
AC007386.4 chr2 65257861 65264631
CEP68 chr2 65283500 65314138
RAB1A chr2 65297835 65357240
ACTR2 chr2 65454887 65498387
SPRED2 chr2 65537985 65659771
AC074391.1 chr2 65663845 66311773
AC007389.3 chr2 65816700 65867311
AC092669.3 chr2 66610438 66619582
MEIS1 chr2 66660584 66801001
MEIS1-AS2 chr2 66666220 66667444
AC078941.1 chr2 67350489 67442451
ETAA1 chr2 67624451 67637677
AC010987.6 chr2 68023186 68052694
C1D chr2 68268262 68338080
WDR92 chr2 68350068 68384692
RP11-474G23.1 chr2 68358370 68488362
PNO1 chr2 68384976 68403370
PPP3R1 chr2 68405989 68483369
RP11-474G23.2 chr2 68406965 68407664
RP11-474G23.3 chr2 68480002 68480980
CNRIP1 chr2 68511303 68547183
AC015969.3 chr2 68588346 68592716
PLEK chr2 68592305 68624585
FBXO48 chr2 68686551 68694390
APLF chr2 68694693 68858004
ARHGAP25 chr2 68906733 69053965
AC097495.2 chr2 69059176 69064856
AC097495.3 chr2 69059948 69064324
ANTXR1 chr2 69240310 69476459
GFPT1 chr2 69546905 69614382
NFU1 chr2 69622882 69664760
RP11-427H3.3 chr2 69685129 69693664
AAK1 chr2 69688532 69901481
ANXA4 chr2 69871557 70053596
AC092431.3 chr2 69927324 69940979
GMCL1 chr2 70056774 70108528
SNRNP27 chr2 70120692 70132707
MXD1 chr2 70124820 70170077
AC019206.1 chr2 70129482 70129841
ASPRV1 chr2 70187226 70189397
PCBP1-AS1 chr2 70189395 70315978
PCBP1 chr2 70314585 70316332
AC016700.2 chr2 70316853 70323232
AC016700.5 chr2 70351168 70352449
C2orf42 chr2 70377012 70475747
TIA1 chr2 70436576 70475792
PCYOX1 chr2 70484518 70508323
SNRPG chr2 70508494 70520903
FAM136A chr2 70523107 70529222
AC022201.5 chr2 70528583 70529204
TGFA chr2 70674412 70781325
ADD2 chr2 70834750 70995357
FIGLA chr2 71004442 71017775
CLEC4F chr2 71035775 71047732
CD207 chr2 71057347 71062952
LINC01143 chr2 71115001 71117089
ATP6V1B1 chr2 71163012 71192536
AC007040.11 chr2 71166448 71222466
AC007040.7 chr2 71168947 71175740
ANKRD53 chr2 71205510 71212626
TEX261 chr2 71213068 71222075
AC007040.6 chr2 71221573 71229884
AC007040.8 chr2 71229661 71291873
NAGK chr2 71291474 71306935
RP11-467P9.1 chr2 71294649 71295255
MCEE chr2 71336814 71357369
MPHOSPH10 chr2 71357444 71377231
PAIP2B chr2 71409869 71454213
ZNF638 chr2 71503691 71662199
DYSF chr2 71680852 71913898
CYP26B1 chr2 72356367 72375167
EXOC6B chr2 72403113 73053170
SPR chr2 73114489 73119287
EMX1 chr2 73143389 73162020
SFXN5 chr2 73169165 73302747
RAB11FIP5 chr2 73300510 73383849
NOTO chr2 73429386 73439641
SMYD5 chr2 73441350 73454365
PRADC1 chr2 73455134 73460366
CCT7 chr2 73460548 73480149
FBXO41 chr2 73481810 73511559
EGR4 chr2 73518058 73520833
ALMS1 chr2 73612886 73837920
TPRKB chr2 73956231 73964527
RP11-434P11.2 chr2 73977383 73977913
DUSP11 chr2 73989311 74007284
C2orf78 chr2 74011316 74044274
STAMBP chr2 74056086 74100786
ACTG2 chr2 74119441 74146992
DGUOK chr2 74153953 74186088
DGUOK-AS1 chr2 74174769 74208568
AC073046.25 chr2 74212259 74213470
RP11-711M9.1 chr2 74213653 74220867
TET3 chr2 74229840 74335303
MGC10955 chr2 74361599 74362521
BOLA3 chr2 74362525 74375121
BOLA3-AS1 chr2 74375136 74377188
MOB1A chr2 74379655 74406025
MTHFD2 chr2 74425689 74444692
RP11-287D1.3 chr2 74438731 74590504
SLC4A5 chr2 74443369 74570541
DCTN1 chr2 74588281 74619214
DCTN1-AS1 chr2 74612613 74621009
C2orf81 chr2 74641304 74648718
WDR54 chr2 74648805 74652882
RTKN chr2 74652963 74669549
INO80B chr2 74682150 74688011
WBP1 chr2 74685456 74688018
MOGS chr2 74688184 74692537
MRPL53 chr2 74699085 74700449
CCDC142 chr2 74699113 74710535
TTC31 chr2 74710200 74722013
LBX2 chr2 74724644 74730443
RP11-523H20.3 chr2 74728844 74729492
LBX2-AS1 chr2 74729722 74731805
PCGF1 chr2 74732170 74735707
TLX2 chr2 74740590 74744274
DQX1 chr2 74745258 74753463
AUP1 chr2 74753772 74757066
HTRA2 chr2 74756504 74760472
LOXL3 chr2 74759541 74782817
DOK1 chr2 74776153 74784681
M1AP chr2 74785010 74875465
SEMA4F chr2 74881355 74909186
RP11-259N19.1 chr2 75059782 75061114
HK2 chr2 75061108 75120486
AC104135.3 chr2 75145275 75165545
AC104135.2 chr2 75146682 75151973
AC104135.4 chr2 75167385 75169797
POLE4 chr2 75185619 75197255
TACR1 chr2 75273590 75426826
RP11-355F16.1 chr2 75381492 75417075
EVA1A chr2 75696428 75796848
MRPL19 chr2 75873909 75917977
GCFC2 chr2 75879126 75938115
RP11-342K6.1 chr2 75887588 75889334
RP11-342K6.3 chr2 75924709 75925122
RP11-342K6.4 chr2 75946246 75947144
LRRTM4 chr2 76974845 77820445
AC084149.1 chr2 77899341 77900918
REG1A chr2 79347488 79350545
SUCLG1 chr2 84650647 84687169
DNAH6 chr2 84743579 85046713
TRABD2A chr2 85048774 85134132
TMSB10 chr2 85132749 85133795
KCMF1 chr2 85198216 85286595
TCF7L1 chr2 85360533 85537511
TGOLN2 chr2 85545147 85555548
RETSAT chr2 85569211 85581743
ELMOD3 chr2 85581517 85618875
CAPG chr2 85621871 85645555
SH2D6 chr2 85645844 85664152
MAT2A chr2 85766288 85772403
GGCX chr2 85771846 85788670
VAMP8 chr2 85788685 85809154
VAMP5 chr2 85811531 85820535
RNF181 chr2 85822848 85824736
TMEM150A chr2 85825671 85830319
USP39 chr2 85829979 85876403
C2orf68 chr2 85833777 85839189
SFTPB chr2 85884437 85895864
GNLY chr2 85912298 85925977
ATOH8 chr2 85978467 86015189
AC105053.3 chr2 86042253 86052514
ST3GAL5 chr2 86066267 86116137
AC105053.4 chr2 86116403 86118103
RP11-548P2.2 chr2 86131402 86131850
POLR1A chr2 86247339 86333278
PTCD3 chr2 86333305 86369280
IMMT chr2 86371055 86422893
RP11-301O19.1 chr2 86422713 86423172
MRPL35 chr2 86426478 86440917
REEP1 chr2 86441116 86565206
KDM3A chr2 86667770 86719839
CHMP3 chr2 86730554 86948245
AC015971.2 chr2 86789193 86845889
RNF103 chr2 86830516 86850989
RMND5A chr2 86947296 87005164
CD8A chr2 87011729 87035519
CD8B chr2 87042462 87089047
RGPD1 chr2 87135076 87241104
PLGLB1 chr2 87229682 87248975
LINC00152 chr2 87754887 87906324
RP11-1399P15.1 chr2 87777014 87777553
PLGLB2 chr2 88047606 88058312
RGPD2 chr2 88055474 88285309
KRCC1 chr2 88326724 88355248
SMYD1 chr2 88367299 88412906
FABP1 chr2 88422510 88427635
THNSL2 chr2 88469835 88486146
AC104134.2 chr2 88838238 88875128
EIF2AK3 chr2 88856259 88927094
AC062029.1 chr2 88927057 88931339
RPIA chr2 88991162 89050452
CH17-132F21.1 chr2 90458201 90458671
RP11-685N3.1 chr2 90537839 90538397
RP11-575H3.1 chr2 91768393 91768920
TEKT4 chr2 95537178 95542574
AC103563.8 chr2 95690938 95692454
MAL chr2 95691422 95719737
AC103563.9 chr2 95717140 95718921
MRPS5 chr2 95752952 95815179
ZNF514 chr2 95813075 95831158
ZNF2 chr2 95831177 95850065
AC092835.2 chr2 95873283 95881351
PROM2 chr2 95940201 95957056
KCNIP3 chr2 95963052 96051825
FAHD2A chr2 96068469 96082364
RP11-440D17.3 chr2 96190857 96192450
RP11-440D17.4 chr2 96203717 96204217
LINC00342 chr2 96472866 96481963
ANKRD36C chr2 96514587 96657541
GPAT2 chr2 96687694 96705199
